timestamp_iso,concentration_mgL,temperature_c,electrode_mV,current1_mA,current2_mA
2025-08-21T12:35:00.000176,0.0498047,25.1,1224.2,4.00002,4
2025-08-21T12:37:00.000153,3.89062,25.032,345.988,4.03301,4
2025-08-21T12:38:00.000176,2.04688,25.0881,344.107,4.03218,4
2025-08-21T12:39:00.000171,2.04688,25.0634,344.104,4.03218,4
2025-08-21T12:40:00.000170,2.04688,25.0788,344.106,4.03218,4
2025-08-21T12:41:00.000161,2.04688,25.0788,344.106,4.03218,4
2025-08-21T12:42:00.000153,2.04688,25.1175,344.111,4.03218,4
2025-08-21T12:43:00.000176,2.0625,25.0033,344.112,4.03218,4
2025-08-21T12:44:00.000174,2.0625,25.0033,344.112,4.03218,4
2025-08-21T12:45:00.000125,2.0625,25.0529,344.119,4.03218,4
2025-08-21T12:46:00.000163,2.0625,25.0529,344.119,4.03218,4
2025-08-21T12:47:00.000165,2.0625,25.0529,344.119,4.03218,4
2025-08-21T12:48:00.000141,2.0625,25.0529,344.119,4.03218,4
2025-08-21T12:49:00.000157,2.0625,25.0529,344.119,4.03218,4
2025-08-21T12:50:00.000164,2.0625,25.0965,344.124,4.03219,4
2025-08-21T12:51:00.000131,2.0625,25.0654,344.12,4.03218,4
2025-08-21T12:52:00.000166,2.0625,25.1027,344.125,4.03219,4
2025-08-21T12:53:00.000122,2.0625,25.1027,344.125,4.03219,4
2025-08-21T12:54:00.000163,2.0625,25.1027,344.125,4.03219,4
2025-08-21T12:55:00.000166,2.0625,25.1027,344.125,4.03219,4
2025-08-21T12:56:00.000167,2.0625,25.1027,344.125,4.03219,4
2025-08-21T12:57:00.000143,2.07812,25.0011,344.128,4.03219,4
2025-08-21T12:58:00.000150,2.07812,25.0167,344.13,4.03219,4
2025-08-21T12:59:00.000169,2.07812,25.0277,344.132,4.03219,4
2025-08-21T13:00:00.000125,2.07812,25.0277,344.132,4.03219,4
2025-08-21T13:01:00.000132,2.07812,25.0277,344.132,4.03219,4
